stage,iter,theta_tt,theta_speed_sd,theta_incidents,theta_median_inc,theta_bus_stops,theta_intersections,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-8.565,0.000,0.000,0.000,0.000,0.000,298497810.210,18289,0,0,
norefined,2,-8.556,0.000,-0.045,0.247,0.000,0.000,295979518.459,18289,2214,30,
norefined,3,-8.533,0.000,-0.094,0.494,0.000,0.000,294671401.289,18289,2509,125,
norefined,4,-8.504,0.000,-0.138,0.745,0.000,0.000,291889737.085,18289,2493,170,
norefined,5,-8.471,0.000,-0.173,1.005,0.000,0.000,288930545.085,18289,2523,263,
norefined,6,-8.439,0.000,-0.211,1.262,0.000,0.000,288050854.733,18289,2546,296,
norefined,7,-8.412,0.000,-0.254,1.489,0.000,-0.017,285084007.518,18289,2532,283,
norefined,8,-8.388,0.000,-0.297,1.672,0.000,-0.069,289008031.226,18289,2516,297,
norefined,9,-8.345,0.000,-0.296,1.821,0.000,-0.108,290270633.379,18289,2546,268,
norefined,10,-8.303,0.000,-0.305,2.016,0.000,-0.120,290567906.650,18289,0,0,
refined,11,-8.412,,-0.254,1.489,,-0.017,284990817.282,18289,0,0,
refined,12,-17.590,,-4.038,5.479,,-0.651,287456188.319,18289,2229,341,
refined,13,-23.100,,-5.126,8.997,,-4.081,290511589.130,18289,2536,396,
refined,14,-28.403,,-11.101,12.279,,-11.066,291913818.513,18289,2566,296,
refined,15,-53.909,,-23.720,24.065,,-24.122,298078362.353,18289,2597,287,
refined,16,-14.287,,-4.231,8.222,,-2.209,294041446.886,18289,2628,349,
refined,17,-17.103,,-7.876,9.758,,-1.877,292220324.292,18289,2623,315,
refined,18,-0.447,,-6.328,0.285,,-2.573,300633796.597,18289,2548,387,
refined,19,-2.066,,-10.400,1.451,,-3.907,287698334.751,18289,2581,368,
refined,20,-5.421,,-21.829,3.904,,-7.748,283694244.832,18289,0,0,
