stage,iter,theta_tt,theta_c,theta_s,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,0.000,0.000,0.000,2629656443.603,1584,0,0,
norefined,2,-0.499,-0.022,-0.023,1517308406.563,1584,0,0,22.541
norefined,3,-0.342,-0.296,-0.411,798951102.626,1584,0,0,1.156
norefined,4,0.024,-0.529,-0.659,15336946811.105,1584,0,0,-0.046
norefined,5,-0.476,-0.530,-0.661,587417314.832,1584,0,0,0.899
norefined,6,-0.055,-0.725,-0.846,571774828.279,1584,0,0,0.076
norefined,7,-0.554,-0.750,-0.821,480798020.964,1584,0,0,0.739
norefined,8,-0.113,-0.924,-0.979,368682502.651,1584,0,0,0.122
norefined,9,-0.609,-0.967,-0.934,411341089.614,1584,0,0,0.629
norefined,10,-0.156,-1.126,-1.076,285051188.263,1584,0,0,0.139
refined,11,-0.156,-1.126,-1.076,285051188.263,1584,0,0,0.139
refined,12,-0.240,-1.936,-1.414,178219329.202,1584,0,0,0.124
refined,13,-0.354,-2.983,-1.900,134017818.143,1584,0,0,0.119
refined,14,-0.482,-4.131,-2.437,116046436.783,1584,0,0,0.117
refined,15,-0.608,-5.137,-2.913,109470968.346,1584,0,0,0.118
refined,16,-0.714,-5.929,-3.270,105522738.154,1584,0,0,0.120
refined,17,-0.833,-6.697,-3.603,103567544.283,1584,0,0,0.124
refined,18,-0.944,-7.320,-3.872,103266680.619,1584,0,0,0.129
refined,19,-1.012,-7.640,-4.054,103613062.136,1584,0,0,0.132
refined,20,-1.050,-7.810,-4.168,104145921.571,1584,0,0,0.134
