stage,iter,theta_tt,objective,vot
norefined,1,-14.000,14210.330,
norefined,2,-12.000,12551.749,
norefined,3,-10.000,10443.548,
norefined,4,-8.000,7526.484,
norefined,5,-6.000,6116.248,
norefined,6,-4.000,4771.577,
norefined,7,-2.000,810.798,
norefined,8,0.000,23312.114,
norefined,9,-2.000,810.798,
norefined,10,0.000,23312.114,
refined,11,-2.000,810.798,
refined,12,-1.500,0.000,
refined,13,-1.467,5.203,
refined,14,-1.463,6.858,
refined,15,-1.462,7.128,
refined,16,-1.462,7.170,
refined,17,-1.462,7.176,
refined,18,-1.462,7.177,
refined,19,-1.462,7.177,
refined,20,-1.462,7.177,
