stage,iter,theta_tt,objective,n_paths,n_paths_added,n_paths_effectively_added,vot
norefined,1,-14.000,81970.396,26,0,0,
norefined,2,-12.000,78797.209,26,0,0,
norefined,3,-10.000,74503.330,26,0,0,
norefined,4,-8.000,69403.667,26,0,0,
norefined,5,-6.000,61774.138,26,0,0,
norefined,6,-4.000,48349.679,26,0,0,
norefined,7,-2.000,22434.615,26,0,0,
norefined,8,0.000,86378.138,26,0,0,
norefined,9,-2.000,22434.615,26,0,0,
norefined,10,0.000,86378.138,26,0,0,
refined,11,-2.000,22434.615,26,0,0,
refined,12,-0.917,13679.314,26,0,0,
refined,13,-1.082,12347.256,26,0,0,
refined,14,-1.109,12304.305,26,0,0,
refined,15,-1.112,12301.911,26,0,0,
refined,16,-1.113,12301.676,26,0,0,
refined,17,-1.113,12301.650,26,0,0,
refined,18,-1.113,12301.647,26,0,0,
refined,19,-1.113,12301.647,26,0,0,
refined,20,-1.113,12301.647,26,0,0,
