theta_attr_grid,f_vals,grad_f_vals,hessian_f_vals
-15.0,77215663.0,-1675147.7,-292342.3
-14.5,76192842.4,-1826738.2,-328546.6
-14.0,75077154.0,-1996782.6,-369743.9
-13.5,73858095.2,-2187723.5,-416557.2
-13.0,72524044.0,-2402278.0,-469649.5
-12.5,71062220.1,-2643446.8,-529713.3
-12.0,69458683.0,-2914515.6,-597455.2
-11.5,67698383.4,-3219048.5,-673575.1
-11.0,65765291.3,-3560871.9,-758741.1
-10.5,63642634.1,-3944052.5,-853562.1
-10.0,61313284.3,-4372876.0,-958563.2
-9.5,58760351.5,-4851845.1,-1074171.6
-9.0,55968045.3,-5385730.9,-1200724.3
-8.5,52922894.1,-5979738.8,-1338513.3
-8.0,49615420.5,-6639888.3,-1487876.2
-7.5,46042391.3,-7373760.5,-1649323.4
-7.0,42209764.6,-8191822.5,-1823635.0
-6.5,38136451.9,-9109579.4,-2011742.6
-6.0,33858970.1,-10150767.7,-2213979.1
-5.5,29436960.3,-11351573.8,-2427878.8
-5.0,24959370.2,-12765270.5,-2643027.0
-4.5,20815588.0,-14378101.7,-2716418.4
-4.0,17400267.9,-15897386.4,-2264768.8
-3.5,14148080.2,-17323377.3,-1277445.4
-3.0,11171803.2,-18518275.0,559723.9
-2.5,8740818.2,-18992240.7,3893650.2
-2.0,6988959.0,-18127530.2,9592544.0
-1.5,6136435.3,-14970254.0,19157657.4
-1.0,6685182.4,-6939806.7,35317301.8
-0.5,9900762.8,10936631.4,65044428.6
0.0,22062599.7,62847212.0,140698125.3
0.5,360991486.0,139437452.3,-866748065.7
1.0,384666643.9,2574730.1,-19057572.9
1.5,385051106.5,66185.0,-475763.6
2.0,385060748.3,1867.1,-13239.0
2.5,385061004.7,54.8,-385.0
3.0,385061012.3,1.7,-11.6
3.5,385061012.5,0.1,-0.4
4.0,385061012.5,0.0,-0.0
4.5,385061012.5,0.0,-0.0
5.0,385061012.5,0.0,-0.0
5.5,385061012.5,0.0,-0.0
6.0,385061012.5,0.0,-0.0
6.5,385061012.5,0.0,-0.0
7.0,385061012.5,0.0,-0.0
7.5,385061012.5,0.0,-0.0
8.0,385061012.5,0.0,-0.0
8.5,385061012.5,0.0,-0.0
9.0,385061012.5,0.0,-0.0
9.5,385061012.5,0.0,-0.0
10.0,385061012.5,0.0,-0.0
10.5,385061012.5,0.0,-0.0
11.0,385061012.5,0.0,-0.0
11.5,385061012.5,0.0,-0.0
12.0,385061012.5,0.0,-0.0
12.5,385061012.5,0.0,-0.0
13.0,385061012.5,0.0,-0.0
13.5,385061012.5,0.0,-0.0
14.0,385061012.5,0.0,-0.0
14.5,385061012.5,0.0,-0.0
15.0,385061012.5,0.0,-0.0
